日時,ステータス,経過秒数
2026-03-30 05:00:08,電源断,12190
2026-03-30 08:23:55,段取り,510
2026-03-30 08:32:26,自動起動,170
2026-03-30 08:35:17,段取り,130
2026-03-30 08:37:27,自動起動,160
2026-03-30 08:40:08,段取り,30
2026-03-30 08:40:38,自動起動,170
2026-03-30 08:43:28,段取り,40
2026-03-30 08:44:08,自動起動,170
2026-03-30 08:46:59,段取り,30
2026-03-30 08:47:29,自動起動,170
2026-03-30 08:50:19,段取り,40
2026-03-30 08:50:59,自動起動,160
2026-03-30 08:53:40,段取り,80
2026-03-30 08:55:00,自動起動,160
2026-03-30 08:57:41,段取り,40
2026-03-30 08:58:21,自動起動,170
2026-03-30 09:01:11,段取り,40
2026-03-30 09:01:51,自動起動,170
2026-03-30 09:04:42,段取り,40
2026-03-30 09:05:22,自動起動,80
2026-03-30 09:06:42,アラーム,10
2026-03-30 09:06:52,段取り,20
2026-03-30 09:07:12,不明,10
2026-03-30 09:07:22,段取り,20
2026-03-30 09:07:42,不明,10
2026-03-30 09:07:52,段取り,40
2026-03-30 09:08:33,自動起動,90
2026-03-30 09:10:03,段取り,60
2026-03-30 09:11:03,自動起動,170
2026-03-30 09:13:54,段取り,90
2026-03-30 09:15:24,自動起動,20
2026-03-30 09:15:44,自動停止,10
2026-03-30 09:15:54,自動起動,130
2026-03-30 09:18:04,段取り,40
2026-03-30 09:18:44,自動起動,170
2026-03-30 09:21:35,段取り,50
2026-03-30 09:22:25,自動起動,170
2026-03-30 09:25:16,段取り,50
2026-03-30 09:26:06,自動起動,170
2026-03-30 09:28:56,段取り,30
2026-03-30 09:29:26,自動起動,170
2026-03-30 09:32:17,段取り,200
2026-03-30 09:35:38,自動起動,160
2026-03-30 09:38:18,段取り,40
2026-03-30 09:38:58,自動起動,170
2026-03-30 09:41:49,段取り,40
2026-03-30 09:42:29,自動起動,170
2026-03-30 09:45:19,段取り,40
2026-03-30 09:45:59,自動起動,170
2026-03-30 09:48:50,段取り,260
2026-03-30 09:53:11,自動起動,170
2026-03-30 09:56:01,段取り,40
2026-03-30 09:56:41,自動起動,170
2026-03-30 09:59:32,段取り,40
2026-03-30 10:00:12,自動起動,60
2026-03-30 10:01:12,段取り,630
2026-03-30 10:11:44,自動起動,110
2026-03-30 10:13:34,段取り,80
2026-03-30 10:14:54,自動起動,170
2026-03-30 10:17:45,段取り,40
2026-03-30 10:18:25,自動起動,170
2026-03-30 10:21:16,段取り,30
2026-03-30 10:21:46,自動起動,170
2026-03-30 10:24:36,段取り,40
2026-03-30 10:25:16,自動起動,170
2026-03-30 10:28:07,段取り,40
2026-03-30 10:28:47,自動起動,170
2026-03-30 10:31:37,段取り,40
2026-03-30 10:32:18,自動起動,160
2026-03-30 10:34:58,段取り,40
2026-03-30 10:35:38,自動起動,170
2026-03-30 10:38:29,段取り,40
2026-03-30 10:39:09,自動起動,160
2026-03-30 10:41:49,段取り,40
2026-03-30 10:42:29,自動起動,170
2026-03-30 10:45:20,段取り,40
2026-03-30 10:46:00,自動起動,160
2026-03-30 10:48:40,段取り,40
2026-03-30 10:49:21,自動起動,170
2026-03-30 10:52:11,段取り,40
2026-03-30 10:52:51,自動起動,170
2026-03-30 10:55:42,段取り,40
2026-03-30 10:56:22,自動起動,170
2026-03-30 10:59:12,段取り,40
2026-03-30 10:59:53,自動起動,170
2026-03-30 11:02:43,段取り,40
2026-03-30 11:03:23,アラーム,10
2026-03-30 11:03:33,段取り,60
2026-03-30 11:04:33,自動起動,70
2026-03-30 11:05:44,自動停止,10
2026-03-30 11:05:54,自動起動,110
2026-03-30 11:07:44,段取り,40
2026-03-30 11:08:24,自動起動,160
2026-03-30 11:11:05,段取り,50
2026-03-30 11:11:55,自動起動,160
2026-03-30 11:14:35,段取り,50
2026-03-30 11:15:25,自動起動,160
2026-03-30 11:18:06,段取り,50
2026-03-30 11:18:56,自動起動,160
2026-03-30 11:21:36,段取り,50
2026-03-30 11:22:27,自動起動,160
2026-03-30 11:25:07,段取り,40
2026-03-30 11:25:47,自動起動,170
2026-03-30 11:28:38,段取り,40
2026-03-30 11:29:18,自動起動,170
2026-03-30 11:32:08,段取り,1170
2026-03-30 11:51:42,自動起動,50
2026-03-30 11:52:32,段取り,50
2026-03-30 11:53:22,自動起動,140
2026-03-30 11:55:43,段取り,140
2026-03-30 11:58:03,自動起動,170
2026-03-30 12:00:54,段取り,2870
2026-03-30 12:48:53,自動起動,160
2026-03-30 12:51:33,段取り,40
2026-03-30 12:52:13,自動起動,170
2026-03-30 12:55:04,段取り,150
2026-03-30 12:57:34,自動起動,170
2026-03-30 13:00:25,段取り,60
2026-03-30 13:01:25,自動起動,160
2026-03-30 13:04:05,段取り,50
2026-03-30 13:04:55,自動起動,160
2026-03-30 13:07:36,段取り,100
2026-03-30 13:09:16,自動起動,170
2026-03-30 13:12:07,段取り,40
2026-03-30 13:12:47,自動起動,170
2026-03-30 13:15:37,段取り,210
2026-03-30 13:19:08,自動起動,160
2026-03-30 13:21:48,段取り,40
2026-03-30 13:22:29,自動起動,160
2026-03-30 13:25:09,段取り,40
2026-03-30 13:25:49,自動起動,170
2026-03-30 13:28:40,段取り,30
2026-03-30 13:29:10,自動起動,170
2026-03-30 13:32:00,段取り,30
2026-03-30 13:32:30,自動起動,170
2026-03-30 13:35:21,段取り,40
2026-03-30 13:36:01,自動起動,170
2026-03-30 13:38:52,段取り,180
2026-03-30 13:41:52,自動起動,170
2026-03-30 13:44:43,段取り,40
2026-03-30 13:45:23,自動起動,160
2026-03-30 13:48:03,段取り,40
2026-03-30 13:48:43,自動起動,160
2026-03-30 13:51:24,段取り,30
2026-03-30 13:51:54,自動起動,170
2026-03-30 13:54:45,段取り,30
2026-03-30 13:55:15,自動起動,160
2026-03-30 13:57:55,段取り,40
2026-03-30 13:58:35,自動起動,160
2026-03-30 14:01:16,段取り,40
2026-03-30 14:01:56,自動起動,170
2026-03-30 14:04:46,段取り,40
2026-03-30 14:05:27,自動起動,160
2026-03-30 14:08:07,段取り,60
2026-03-30 14:09:07,自動起動,170
2026-03-30 14:11:58,段取り,40
2026-03-30 14:12:38,自動起動,160
2026-03-30 14:15:18,段取り,40
2026-03-30 14:15:58,自動起動,160
2026-03-30 14:18:39,段取り,40
2026-03-30 14:19:19,自動起動,160
2026-03-30 14:22:00,段取り,30
2026-03-30 14:22:30,自動起動,170
2026-03-30 14:25:20,段取り,30
2026-03-30 14:25:50,自動起動,170
2026-03-30 14:28:41,段取り,50
2026-03-30 14:29:31,自動起動,170
2026-03-30 14:32:21,段取り,30
2026-03-30 14:32:52,自動起動,170
2026-03-30 14:35:42,段取り,290
