日時,ステータス,経過秒数
2026-05-12 05:00:00,電源断,6270
2026-05-12 06:44:30,自動停止,90
2026-05-12 06:46:00,自動起動,1090
2026-05-12 07:04:10,自動停止,5560
2026-05-12 08:36:50,自動起動,260
2026-05-12 08:41:10,自動停止,20
2026-05-12 08:41:30,自動起動,1390
2026-05-12 09:04:40,自動停止,50
2026-05-12 09:05:30,自動起動,1370
2026-05-12 09:28:20,自動停止,800
2026-05-12 09:41:40,自動起動,2790
2026-05-12 10:28:10,自動停止,290
2026-05-12 10:33:00,自動起動,1390
2026-05-12 10:56:10,自動停止,450
2026-05-12 11:03:40,自動起動,1390
2026-05-12 11:26:50,自動停止,60
2026-05-12 11:27:50,自動起動,1380
2026-05-12 11:50:50,自動停止,2980
2026-05-12 12:40:30,自動起動,1380
2026-05-12 13:03:30,自動停止,250
2026-05-12 13:07:40,自動起動,1390
2026-05-12 13:30:50,自動停止,11760
2026-05-12 16:46:50,段取り,1000
2026-05-12 17:03:30,自動停止,60
2026-05-12 17:04:30,自動起動,680
2026-05-12 17:15:50,自動停止,630
2026-05-12 17:26:20,自動起動,260
2026-05-12 17:30:40,自動停止,100
2026-05-12 17:32:20,自動起動,700
2026-05-12 17:44:00,自動停止,19660
2026-05-12 23:11:40,自動起動,260
2026-05-12 23:16:00,自動停止,50
2026-05-12 23:16:50,自動起動,970
2026-05-12 23:33:00,自動停止,40
2026-05-12 23:33:40,自動起動,960
2026-05-12 23:49:40,自動停止,920
2026-05-13 00:05:00,自動起動,960
2026-05-13 00:21:00,自動停止,20
2026-05-13 00:21:20,自動起動,700
2026-05-13 00:33:00,自動停止,790
2026-05-13 00:46:10,電源断,15230
