日時,ステータス,経過秒数
2026-06-17 05:00:00,電源断,6680
2026-06-17 06:51:20,自動停止,1220
2026-06-17 07:11:40,段取り,6970
2026-06-17 09:07:50,自動停止,610
2026-06-17 09:18:00,段取り,4620
2026-06-17 10:35:00,自動起動,10
2026-06-17 10:35:10,自動停止,30
2026-06-17 10:35:40,自動起動,40
2026-06-17 10:36:20,自動停止,10
2026-06-17 10:36:30,自動起動,10
2026-06-17 10:36:40,自動停止,10
2026-06-17 10:36:50,自動起動,10
2026-06-17 10:37:00,自動停止,10
2026-06-17 10:37:10,段取り,30
2026-06-17 10:37:40,自動起動,140
2026-06-17 10:40:00,自動停止,10
2026-06-17 10:40:10,自動起動,50
2026-06-17 10:41:00,自動停止,10
2026-06-17 10:41:10,段取り,100
2026-06-17 10:42:50,自動起動,220
2026-06-17 10:46:30,自動停止,20
2026-06-17 10:46:50,自動起動,30
2026-06-17 10:47:20,自動停止,290
2026-06-17 10:52:10,自動起動,10
2026-06-17 10:52:20,自動停止,20
2026-06-17 10:52:40,自動起動,30
2026-06-17 10:53:10,段取り,70
2026-06-17 10:54:20,自動停止,40
2026-06-17 10:55:00,自動起動,50
2026-06-17 10:55:50,自動停止,40
2026-06-17 10:56:30,段取り,400
2026-06-17 11:03:10,自動停止,10
2026-06-17 11:03:20,自動起動,10
2026-06-17 11:03:30,自動停止,50
2026-06-17 11:04:20,自動起動,200
2026-06-17 11:07:40,自動停止,10
2026-06-17 11:07:50,段取り,1630
2026-06-17 11:35:00,自動起動,30
2026-06-17 11:35:30,自動停止,40
2026-06-17 11:36:10,自動起動,40
2026-06-17 11:36:50,自動停止,10
2026-06-17 11:37:00,自動起動,60
2026-06-17 11:38:00,自動停止,10
2026-06-17 11:38:10,段取り,140
2026-06-17 11:40:30,自動停止,10
2026-06-17 11:40:40,自動起動,100
2026-06-17 11:42:20,段取り,4860
2026-06-17 13:03:20,自動停止,10
2026-06-17 13:03:30,段取り,150
2026-06-17 13:06:00,自動停止,10
2026-06-17 13:06:10,自動起動,10
2026-06-17 13:06:20,自動停止,10
2026-06-17 13:06:30,自動起動,50
2026-06-17 13:07:20,自動停止,10
2026-06-17 13:07:30,自動起動,130
2026-06-17 13:09:40,自動停止,50
2026-06-17 13:10:30,自動起動,40
2026-06-17 13:11:10,自動停止,30
2026-06-17 13:11:40,自動起動,40
2026-06-17 13:12:20,自動停止,70
2026-06-17 13:13:30,自動起動,110
2026-06-17 13:15:20,自動停止,10
2026-06-17 13:15:30,自動起動,200
2026-06-17 13:18:50,段取り,90
2026-06-17 13:20:20,自動停止,20
2026-06-17 13:20:40,自動起動,20
2026-06-17 13:21:00,自動停止,10
2026-06-17 13:21:10,段取り,90
2026-06-17 13:22:40,自動停止,10
2026-06-17 13:22:50,自動起動,30
2026-06-17 13:23:20,自動停止,80
2026-06-17 13:24:40,段取り,1010
2026-06-17 13:41:30,自動停止,20
2026-06-17 13:41:50,自動起動,20
2026-06-17 13:42:10,自動停止,30
2026-06-17 13:42:40,自動起動,50
2026-06-17 13:43:30,自動停止,10
2026-06-17 13:43:40,段取り,60
2026-06-17 13:44:40,自動停止,10
2026-06-17 13:44:50,自動起動,10
2026-06-17 13:45:00,自動停止,10
2026-06-17 13:45:10,自動起動,190
2026-06-17 13:48:20,自動停止,30
2026-06-17 13:48:50,自動起動,100
2026-06-17 13:50:30,自動停止,40
2026-06-17 13:51:10,段取り,1180
2026-06-17 14:10:50,自動起動,50
2026-06-17 14:11:40,自動停止,10
2026-06-17 14:11:50,段取り,10
2026-06-17 14:12:00,自動起動,10
2026-06-17 14:12:10,自動停止,10
2026-06-17 14:12:20,自動起動,60
2026-06-17 14:13:20,自動停止,10
2026-06-17 14:13:30,段取り,100
2026-06-17 14:15:10,自動停止,10
2026-06-17 14:15:20,自動起動,100
2026-06-17 14:17:00,段取り,130
2026-06-17 14:19:10,自動停止,10
2026-06-17 14:19:20,段取り,990
2026-06-17 14:35:50,自動停止,10
2026-06-17 14:36:00,段取り,10
2026-06-17 14:36:10,自動停止,10
2026-06-17 14:36:20,自動起動,20
2026-06-17 14:36:40,自動停止,20
2026-06-17 14:37:00,自動起動,30
2026-06-17 14:37:30,自動停止,20
2026-06-17 14:37:50,自動起動,50
2026-06-17 14:38:40,自動停止,60
2026-06-17 14:39:40,段取り,110
2026-06-17 14:41:30,自動起動,40
2026-06-17 14:42:10,自動停止,20
2026-06-17 14:42:30,自動起動,30
2026-06-17 14:43:00,自動停止,10
2026-06-17 14:43:10,自動起動,10
2026-06-17 14:43:20,自動停止,20
2026-06-17 14:43:40,段取り,3910
2026-06-17 15:48:50,自動停止,280
2026-06-17 15:53:30,段取り,4520
2026-06-17 17:08:50,電源断,42670
